Q0,Q79,Q11,Q12,Q74,Q77,Q75,Q76,Q7,Q8,Q20,Q9,Q10,Q22,Q80,Q81,Q21,Q82,Q83,Q23,Q84,Q85,Q86,Q87,Q88,Q89,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q34,Q35,Q36,Q39,Q40,Q41,Q44,Q90,Q28,Q91,Q48,Q92,Q33,Q93,Q52,Q53,Q54,Q60,Q94,Q61,Q95,Q96,Q97,Q58,Q64,Q98,Q65,Q99,Q100,Q101,Q102,Q62,Q103,Q104,Q63,Q56,Q57,Q58,Q66,Q105,Q106,Q67,Q45,Q46,Q47,Q49,Q50,Q51
94,Chicago,Project Design (Architecture / Interiors / Urban),0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,5,5,3,5,5,5,FALSE,FALSE,4,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,4,4,4,5,4,4,4,5,3,4,5,2,4,FALSE,3,FALSE,5,FALSE,5,FALSE,2,1,1,4,FALSE,1,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,3,5,4,5,3,FALSE,FALSE,3,4,3,2,5,5,5
95,Chicago,"DXD, Brand, Graphics",0-2 years ,0-5 years,Untitled,Man,I'm at the office 2-3 days a week,4,4,4,5,4,4,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,3,3,4,4,5,5,5,5,5,5,3,1,5,FALSE,5,FALSE,4,FALSE,4,FALSE,4,5,4,4,FALSE,4,FALSE,FALSE,FALSE,3,4,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,5,4,5,3,4,FALSE,FALSE,5,3,4,3,4,5,5
96,San Francisco,"Consulting (Real Estate Service, Strategy & Sustainability)",0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,5,4,4,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,5,5,5,5,5,5,5,5,5,5,3,FALSE,4,FALSE,5,FALSE,5,FALSE,5,4,4,4,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,4,2,3,5,5,5
97,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,4,2,2,4,4,5,FALSE,FALSE,2,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,3,4,4,3,4,2,3,2,4,3,3,3,FALSE,3,FALSE,4,FALSE,5,FALSE,3,2,3,1,FALSE,1,FALSE,FALSE,FALSE,3,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,4,4,3,5,FALSE,FALSE,5,3,3,2,3,4,5
98,San Francisco,"Consulting (Real Estate Service, Strategy & Sustainability)",0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,4,4,4,4,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,5,4,4,3,5,4,2,1,FALSE,5,FALSE,4,FALSE,5,FALSE,4,4,3,2,FALSE,1,FALSE,FALSE,FALSE,4,4,FALSE,3,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,4,5,FALSE,FALSE,5,2,1,3,4,4,5
99,Chicago,"DXD, Brand, Graphics",0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,4,5,4,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,3,5,5,5,5,3,3,3,4,4,4,3,FALSE,2,FALSE,5,FALSE,5,FALSE,2,1,1,4,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,2,1,2,5,5,5
100,San Francisco,Project Design (Architecture / Interiors / Urban),More than 10 years,20+ years,Senior Associate,Man,I'm at the office 4-5 days a week,4,4,4,3,4,4,FALSE,FALSE,3,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4,3,3,3,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,3,4,4,4,4,FALSE,FALSE,4,4,4,3,4,4,4
101,Chicago,Project Technical Support (Realization / DT),6-10 years,16-20 years ,Associate,Man,I'm at the office 2-3 days a week,4,4,4,5,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,4,5,5,5,5,4,4,4,5,5,3,4,FALSE,3,FALSE,5,FALSE,5,FALSE,3,1,2,4,FALSE,2,FALSE,FALSE,FALSE,5,4,FALSE,3,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,3,5,5,4,FALSE,FALSE,4,4,3,3,3,3,5
102,San Francisco,"Consulting (Real Estate Service, Strategy & Sustainability)",0-2 years ,6 - 10 years,Untitled,Man,I'm at the office 1 day a week,3,4,4,4,5,5,FALSE,FALSE,2,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,2,5,4,3,4,4,3,4,4,4,5,2,FALSE,3,FALSE,3,FALSE,5,FALSE,2,3,3,4,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,3,4,4,4,FALSE,FALSE,4,2,2,2,3,5,5
103,San Francisco,"DXD, Brand, Graphics",0-2 years ,16-20 years ,Untitled,Man,I'm at the office 1 day a week,5,5,5,4,5,5,FALSE,FALSE,5,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,4,5,5,5,5,4,5,4,5,5,2,4,FALSE,4,FALSE,5,FALSE,5,FALSE,3,4,3,4,FALSE,5,FALSE,FALSE,FALSE,4,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,4,5,FALSE,FALSE,5,3,4,3,3,4,5
104,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,4,5,4,2,5,5,FALSE,FALSE,3,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,4,5,5,5,5,5,5,4,4,5,1,4,FALSE,1,FALSE,5,FALSE,5,FALSE,2,1,3,3,FALSE,3,FALSE,FALSE,FALSE,1,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,2,3,5,1,5,FALSE,FALSE,5,5,4,1,5,4,5
105,San Francisco,Project Design (Architecture / Interiors / Urban),6-10 years,11-15 years,Associate,Woman,I'm at the office 2-3 days a week,4,4,4,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,5,4,4,3,5,5,4,3,FALSE,3,FALSE,5,FALSE,5,FALSE,3,2,3,3,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,5,5,5,FALSE,FALSE,5,3,3,3,5,5,5
106,San Francisco,Project Design (Architecture / Interiors / Urban),More than 10 years,16-20 years,Senior Associate,Woman,I'm at the office 2-3 days a week,5,5,5,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,5,5,5,5,5,5,5,5,5,5,3,4,FALSE,3,FALSE,4,FALSE,5,FALSE,1,1,3,3,FALSE,3,FALSE,FALSE,FALSE,3,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,3,5,FALSE,FALSE,5,4,3,3,5,5,5
107,San Francisco,Project Design (Architecture / Interiors / Urban),3-5 years,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,3,4,4,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,3,3,5,5,5,5,5,5,3,5,5,3,4,FALSE,4,FALSE,5,FALSE,5,FALSE,3,2,4,3,FALSE,3,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,5,5,5,FALSE,FALSE,5,4,4,4,5,5,5
108,San Francisco,Firmwide Hub & Office Leadership ,3-5 years,20+ years,Untitled,Man,I'm at the office 2-3 days a week,4,4,4,5,3,5,FALSE,FALSE,3,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,4,5,5,5,5,5,5,4,5,5,2,4,FALSE,2,FALSE,5,FALSE,5,FALSE,2,2,3,2,FALSE,2,FALSE,FALSE,FALSE,4,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,4,4,5,FALSE,FALSE,5,5,5,4,5,5,5
109,San Francisco,"Consulting (Real Estate Service, Strategy & Sustainability)",0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,3,5,4,5,5,5,FALSE,FALSE,2,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,4,4,5,5,5,4,3,4,2,4,4,1,1,FALSE,4,FALSE,3,FALSE,4,FALSE,3,3,1,4,FALSE,1,FALSE,FALSE,FALSE,3,4,FALSE,3,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,4,3,5,FALSE,FALSE,5,2,3,3,2,2,5
110,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",6-10 years,6 - 10 years,Associate,Woman,I'm at the office 2-3 days a week,4,4,4,5,4,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,FALSE,4,FALSE,4,FALSE,5,FALSE,4,3,3,4,FALSE,4,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,4,4,4,4,FALSE,FALSE,4,4,4,4,4,4,4
111,San Francisco,Project Design Management ,More than 10 years,20+ years,Senior Associate,Man,I'm at the office 2-3 days a week,4,5,3,4,5,4,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,4,4,5,4,3,4,5,5,5,5,5,4,5,FALSE,3,FALSE,5,FALSE,5,FALSE,3,3,3,2,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,4,4,4,5,FALSE,FALSE,3,4,3,4,4,4,5
112,San Francisco,Project Design (Architecture / Interiors / Urban),More than 10 years,11-15 years,Associate,Man,I'm fully remote,3,5,4,2,4,3,FALSE,FALSE,5,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,4,3,5,3,5,3,2,5,2,5,FALSE,5,FALSE,2,FALSE,5,FALSE,5,5,5,5,FALSE,5,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,4,4,5,FALSE,FALSE,4,5,5,5,5,3,5
113,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,11-15 years,Untitled,Man,I'm at the office 4-5 days a week,5,5,4,5,5,5,FALSE,FALSE,5,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,5,5,5,5,5,5,4,4,4,5,5,3,4,FALSE,2,FALSE,4,FALSE,5,FALSE,2,5,4,2,FALSE,3,FALSE,FALSE,FALSE,5,4,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,3,5,5,5,4,FALSE,FALSE,4,4,4,4,4,4,5
114,San Francisco,Office Management,More than 10 years,20+ years,Principal,Man,I'm at the office 4-5 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,FALSE,4,FALSE,5,FALSE,4,FALSE,3,3,3,3,FALSE,3,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,4,5,4,5,5,FALSE,FALSE,4,5,5,5,5,5,5
115,Chicago,Project Technical Support (Realization / DT),0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,1,4,4,3,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,3,4,5,5,5,5,5,5,3,5,5,3,5,FALSE,3,FALSE,5,FALSE,5,FALSE,4,2,4,2,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,3,5,5,5,5,FALSE,FALSE,5,5,5,3,5,5,5
116,Chicago,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,3,5,3,3,5,5,FALSE,FALSE,5,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,4,5,5,3,4,FALSE,2,FALSE,5,FALSE,5,FALSE,2,3,1,4,FALSE,1,FALSE,FALSE,FALSE,4,4,FALSE,5,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,5,5,4,4,3,FALSE,FALSE,5,3,2,3,4,4,5
117,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,2,2,1,4,5,5,FALSE,FALSE,1,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,3,4,4,4,4,4,4,4,5,5,2,1,FALSE,3,FALSE,5,FALSE,5,FALSE,1,1,2,1,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,4,4,3,5,5,5
118,San Francisco,Project Design (Architecture / Interiors / Urban),3-5 years,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,3,3,4,3,5,5,FALSE,FALSE,3,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,4,3,5,3,5,4,5,4,5,5,5,3,4,FALSE,3,FALSE,3,FALSE,5,FALSE,3,1,3,3,FALSE,1,FALSE,FALSE,FALSE,3,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,5,3,5,FALSE,FALSE,5,3,3,3,5,4,5
119,Chicago,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 4-5 days a week,4,4,4,4,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,4,3,4,4,5,5,5,5,5,5,5,4,4,FALSE,3,FALSE,5,FALSE,5,FALSE,2,2,4,3,FALSE,1,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,4,5,4,FALSE,FALSE,5,5,4,4,5,5,5
120,Chicago,Project Design (Architecture / Interiors / Urban),0-2 years ,11-15 years,Untitled,Man,I'm at the office 2-3 days a week,4,5,5,4,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,FALSE,3,FALSE,5,FALSE,5,FALSE,4,4,4,5,FALSE,3,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,4,4,4,5,FALSE,FALSE,5,3,3,3,5,5,5
121,Chicago,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",3-5 years,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,2,5,2,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,4,4,5,5,5,5,3,3,2,5,5,1,2,FALSE,3,FALSE,5,FALSE,5,FALSE,1,1,2,3,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,3,4,3,5,5,FALSE,FALSE,5,2,1,3,5,5,5
122,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,3,5,4,4,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,4,5,5,5,5,4,4,4,4,4,4,3,FALSE,3,FALSE,4,FALSE,5,FALSE,2,1,3,2,FALSE,1,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,4,4,4,5,FALSE,FALSE,5,4,3,3,4,4,5
123,Chicago,Project Design (Architecture / Interiors / Urban),3-5 years,11-15 years,Untitled,Woman,I'm at the office 2-3 days a week,4,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,2,5,4,5,4,5,5,5,4,5,3,4,4,FALSE,3,FALSE,5,FALSE,5,FALSE,2,2,4,2,FALSE,2,FALSE,FALSE,FALSE,3,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,3,5,FALSE,FALSE,5,4,3,4,4,4,4
124,Chicago,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",3-5 years,6 - 10 years,Untitled,Woman,I'm at the office 1 day a week,3,4,3,4,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,4,4,5,5,5,5,5,5,4,5,5,4,5,FALSE,5,FALSE,5,FALSE,5,FALSE,4,3,4,4,FALSE,5,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,4,3,3,5,5,5
125,Chicago,Project Design (Architecture / Interiors / Urban),0-2 years ,11-15 years,Untitled,Woman,I'm at the office 2-3 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5,2,5,3,FALSE,1,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,2,5,5,FALSE,FALSE,5,5,5,4,5,5,5
126,Chicago,"Consulting (Real Estate Service, Strategy & Sustainability)",3-5 years,6 - 10 years,Associate,Woman,I'm at the office 2-3 days a week,5,5,4,3,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,5,5,3,5,3,3,5,1,5,5,1,3,FALSE,5,FALSE,5,FALSE,5,FALSE,1,1,3,5,FALSE,1,FALSE,FALSE,FALSE,3,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,3,5,FALSE,FALSE,5,5,5,3,5,5,5
127,Chicago,Project Design (Architecture / Interiors / Urban),0-2 years ,0-5 years,Untitled,Man,I'm at the office 2-3 days a week,4,4,5,4,4,4,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,4,2,4,4,4,5,5,5,5,5,4,FALSE,2,FALSE,4,FALSE,4,FALSE,2,2,4,5,FALSE,5,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,5,5,5,4,5,FALSE,FALSE,5,4,2,3,5,5,5
128,Chicago,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",More than 10 years,11-15 years,Senior Associate,Woman,I'm at the office 2-3 days a week,4,5,3,5,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,5,5,5,5,4,4,3,3,3,4,4,3,3,FALSE,4,FALSE,5,FALSE,5,FALSE,4,4,4,4,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,5,4,4,FALSE,FALSE,5,3,3,4,4,5,5
129,San Francisco,Project Design Management ,3-5 years,16-20 years,Associate,Woman,I'm at the office 2-3 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE,4,FALSE,5,FALSE,5,FALSE,3,4,5,3,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,5,5,5,5,5,5
130,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",More than 10 years,11-15 years,Associate,Man,I'm at the office 2-3 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,FALSE,5,FALSE,5,FALSE,5,FALSE,4,5,4,4,FALSE,5,FALSE,FALSE,FALSE,4,3,FALSE,3,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,3,3,4,4,FALSE,FALSE,5,5,5,5,5,4,5
131,Chicago,Project Design Management ,More than 10 years,16-20 years,Principal,Woman,I'm at the office 4-5 days a week,5,5,4,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,FALSE,3,FALSE,4,FALSE,5,FALSE,3,4,4,4,FALSE,3,FALSE,FALSE,FALSE,3,4,FALSE,3,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,5,3,5,FALSE,FALSE,4,5,5,5,4,4,5
132,Chicago,Project Design Management ,3-5 years,16-20 years,Associate,Woman,I'm at the office 4-5 days a week,3,5,4,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,4,5,3,5,5,2,4,FALSE,1,FALSE,5,FALSE,5,FALSE,1,1,3,4,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,2,5,5,5,1,FALSE,FALSE,3,4,4,3,4,5,5
133,London,Project Design (Architecture / Interiors / Urban),0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 4-5 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,FALSE,4,FALSE,5,FALSE,5,FALSE,4,3,3,5,FALSE,5,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,3,4,4,4,5,FALSE,FALSE,5,5,3,4,5,5,5
134,,Project Technical Support (Realization / DT),6-10 years,11-15 years,Associate,Man,I'm at the office 2-3 days a week,4,5,5,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,4,4,5,5,5,5,4,4,3,4,3,1,4,FALSE,1,FALSE,3,FALSE,4,FALSE,5,2,1,4,FALSE,4,FALSE,FALSE,FALSE,3,4,FALSE,2,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,2,5,3,3,3,FALSE,FALSE,4,1,3,2,5,4,5
135,London,Project Design (Architecture / Interiors / Urban),3-5 years,16-20 years,Untitled,Woman,I'm at the office 2-3 days a week,4,5,4,5,5,5,FALSE,FALSE,4,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,FALSE,3,FALSE,5,FALSE,5,FALSE,5,5,5,5,FALSE,5,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,4,4,5,4,4,5
136,London,Project Design (Architecture / Interiors / Urban),6-10 years,11-15 years,Untitled,Woman,I'm at the office 2-3 days a week,1,3,3,3,3,5,FALSE,FALSE,1,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,2,2,4,4,4,4,1,3,3,4,4,3,3,FALSE,1,FALSE,4,FALSE,4,FALSE,1,1,1,1,FALSE,2,FALSE,FALSE,FALSE,4,5,FALSE,3,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,4,5,FALSE,FALSE,5,2,2,1,4,4,4
137,London,Project Design (Architecture / Interiors / Urban),6-10 years,11-15 years,Untitled,Woman,I'm at the office 2-3 days a week,5,5,3,4,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,2,4,5,3,4,5,4,5,3,4,4,1,2,FALSE,2,FALSE,4,FALSE,5,FALSE,4,4,2,4,FALSE,4,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,4,4,5,FALSE,FALSE,5,1,2,1,5,5,5
138,London,Project Design Management ,3-5 years,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,4,4,3,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,5,5,5,4,5,5,4,4,FALSE,2,FALSE,5,FALSE,5,FALSE,2,2,3,2,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,5,5,5,FALSE,FALSE,5,4,4,4,5,5,5
139,London,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",3-5 years,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,5,5,4,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,5,5,5,5,3,4,4,5,5,5,3,FALSE,2,FALSE,4,FALSE,5,FALSE,4,4,4,4,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,5,5,5,FALSE,FALSE,5,4,3,3,5,5,5
